region,name,mean_diff_2004_to_2018,lq,uq
York,ccrisp,-2.9128997761965927,-2.9443504123271866,-2.883019948611743
York,chaet,2.208721747032898,1.8581178672356795,2.581578484201596
York,codm,-0.19680165406990965,-0.4101888808209806,0.01856094572870032
York,coral,8.354858251956994,7.428328141896024,9.299919777796823
York,desm,1.9401348025651044,1.690608123433184,2.221174856353536
York,palm,0.10892632445262515,-0.13993190500499214,0.33888414560216457
York,phyc,-5.085260366514651,-5.405818763341411,-4.784538868737856
York,poly,37.39253484104116,37.29044390388346,37.49564092649662
York,porph,-0.7259128786393371,-0.851484066522318,-0.585255072005127
York,ptilo,-0.9320980185699753,-1.1817439854059748,-0.6673150223673956
York,rhod,0.26152813278028914,0.01929731924221898,0.5073344280133346
York,ulva,-0.1425601542818026,-0.4427751047857239,0.14385901068795354
Casco Bay,ccrisp,8.012639033565188,7.941268580107403,8.085671566573929
Casco Bay,chaet,1.2114599465041198,0.8187365866061198,1.6491299169290543
Casco Bay,codm,-0.7244145768836994,-0.9922500602297033,-0.444486270342579
Casco Bay,coral,4.285640690328616,3.6703001222484843,4.950861916945025
Casco Bay,desm,-1.9709469819796746,-2.0349092140537346,-1.9050094039931844
Casco Bay,palm,-0.7888763580347358,-1.0931342471297891,-0.5135595472389167
Casco Bay,phyc,-4.555744718644849,-4.858992599751792,-4.261409173518826
Casco Bay,poly,3.2169557720479145,3.1681413210334135,3.266841063458811
Casco Bay,porph,-0.47257116545160466,-0.6227187051528467,-0.30429586591859614
Casco Bay,ptilo,-3.4857327256357005,-3.801852683503146,-3.1561851573179585
Casco Bay,rhod,0.9751148796793836,0.6054072498935312,1.4221345422699194
Casco Bay,ulva,-0.07014430290240761,-0.4058877205112969,0.2829724767039856
Midcoast,ccrisp,11.182615114145126,11.090184325439182,11.270921812258042
Midcoast,chaet,0.12380453778132167,-0.14965980135967122,0.41297391432481545
Midcoast,codm,-0.3515966233851391,-0.6172343253544484,-0.06661988080302697
Midcoast,coral,2.4145279991746,1.9881712488137415,2.852140615466893
Midcoast,desm,-0.24126567321191056,-0.38109653954639555,-0.07166112651793191
Midcoast,palm,0.6386587065563348,0.2972715324033649,0.9663819895373322
Midcoast,phyc,-0.24514364501017427,-0.32098537776584135,-0.15044238474279806
Midcoast,poly,10.58013995285929,10.500556371217476,10.657766078417758
Midcoast,porph,0.6049292408356993,0.4236529233720846,0.792214649660977
Midcoast,ptilo,-0.15518038816361723,-0.4262820081160902,0.1284240451888378
Midcoast,rhod,4.524232239023248,3.730567309758955,5.486076457393876
Midcoast,ulva,-0.09530402653313735,-0.47542205101552804,0.2888514709730097
Penobscot Bay,ccrisp,14.876760480045993,14.762514749159394,14.987762649097483
Penobscot Bay,chaet,0.16520226255081796,-0.14429492097107263,0.5012169566825064
Penobscot Bay,codm,0.007435356061151218,-0.26746335689751755,0.3151391381238876
Penobscot Bay,coral,0.5016496805530185,0.31424200014546994,0.7125685406941711
Penobscot Bay,desm,3.9005920552372904,3.3706528588654185,4.502197769168883
Penobscot Bay,palm,-0.5228448941116765,-0.8741204810010486,-0.1674702411105938
Penobscot Bay,phyc,-1.0007127697378948,-1.0625018998590599,-0.9371106274497216
Penobscot Bay,poly,3.7315648004199757,3.6800077307979953,3.782600848760079
Penobscot Bay,porph,1.743881385227325,1.2845199872855932,2.3536082414075428
Penobscot Bay,ptilo,-0.7487158773220124,-1.0700221416723426,-0.43204197559959856
Penobscot Bay,rhod,2.1136205804837283,1.5887362914400016,2.7081337765712927
Penobscot Bay,ulva,0.8910047134060691,0.3489561413118276,1.42226844914964
MDI,ccrisp,1.2499615711755037,1.2317421525497512,1.267607771931405
MDI,chaet,0.46432787193401975,0.16853540086464447,0.8123693278641366
MDI,codm,0.0040499552222804484,-0.2458768286081588,0.2938714428925932
MDI,coral,1.4994163599468104,1.2389293531762888,1.7881411553658477
MDI,desm,-0.5770026862334345,-0.6391860008279171,-0.4998491945540101
MDI,palm,0.7750481486599352,0.42923805389988745,1.1132757683041044
MDI,phyc,-0.22953049306750256,-0.2963071223896757,-0.14520428062053292
MDI,poly,-5.050223687219882,-5.0663827835554525,-5.0335938937299876
MDI,porph,-0.9328467610111443,-1.1058145914736337,-0.7380805341851471
MDI,ptilo,-0.4702223017316631,-0.7348404952243586,-0.17966063715484115
MDI,rhod,1.0013756243169007,0.6411893155848304,1.3894438774735631
MDI,ulva,-0.6014701476761644,-0.9588506098363136,-0.2622233997164235
Downeast,ccrisp,-0.0541666842283158,-0.06224321065621804,-0.04682032930984506
Downeast,chaet,0.1757711589755144,-0.07626847619814743,0.49334353475683557
Downeast,codm,0.003771129753866649,-0.2341745356729819,0.29319560180730125
Downeast,coral,5.249489828039249,4.500787543119697,6.037601318566017
Downeast,desm,-1.2251625469073013,-1.2399699196571772,-1.2056227200535714
Downeast,palm,0.4929497386551411,0.16849537788446958,0.8551270450875097
Downeast,phyc,2.0052801716078816,1.666382724340705,2.385510299613365
Downeast,poly,11.585374943012315,11.50771826921818,11.669152170311804
Downeast,porph,0.8816273607731234,0.6566911122599337,1.1373846834019823
Downeast,ptilo,-0.6733885768614027,-0.9637753506718327,-0.3458602933039546
Downeast,rhod,1.431790602720541,1.003576692772241,1.9086428630502263
Downeast,ulva,0.1389823651556429,-0.21533975032251224,0.5182888377788663
