Contrast,Estimate,SE,df,t,p
York - Casco Bay,0.14537751471954127,1.8161492571462143,25029,0.0800471184554394,0.9999995414530348
York - Midcoast,1.312641873244103,1.5498833254173312,25029,0.8469294763789093,0.958630616938956
York - Penobscot Bay,-0.06962047452090507,1.5408672527552627,25029,-0.04518265567420878,0.9999999736629468
York - MDI,-0.3479423371408039,1.5248438744123456,25029,-0.22818227031596677,0.9999158467966813
York - Downeast,-0.6144569237106594,1.5158723401958043,25029,-0.40534872720963455,0.9986006451017738
Casco Bay - Midcoast,1.1672643585245617,1.0571193961088035,25029,1.1041934930162056,0.8798620386892452
Casco Bay - Penobscot Bay,-0.21499798924044633,1.0443059901364316,25029,-0.2058764301566041,0.9999494148915872
Casco Bay - MDI,-0.4933198518603452,1.020129863146402,25029,-0.4835853450449841,0.9967446223334778
Casco Bay - Downeast,-0.7598344384302007,1.0065287300814934,25029,-0.7549058618214315,0.9748298850987309
Midcoast - Penobscot Bay,-1.382262347765008,0.44517804460893395,25029,-3.104965225720542,0.0233906819932872
Midcoast - MDI,-1.6605842103849069,0.38549324663057516,25029,-4.307686904762494,2.386495546137235e-4
Midcoast - Downeast,-1.9270987969547624,0.348087325059025,25029,-5.536250987099243,4.6164848244156786e-7
Penobscot Bay - MDI,-0.27832186261989883,0.348243321973766,25029,-0.7992166541555834,0.9677280731651094
Penobscot Bay - Downeast,-0.5448364491897544,0.30634465977232517,25029,-1.7785080686396686,0.4797169116199911
MDI - Downeast,-0.2665145865698555,0.2103896095426482,25029,-1.266766867190892,0.8032062586889739
